corpus_order,citation_key,citation_label,primary_contribution,primary_pathway,evidence_tier,source_type_detail,cross_pathway_role,inclusion_basis,source_url
21,TaoGao2025,Tao and Gao (2025),Data-centre health-research frontier,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Data-centre health-research frontier.,
22,LiembergerWyatt2019,Liemberger and Wyatt (2019),Global non-revenue-water quantification,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Global non-revenue-water quantification.,https://doi.org/10.2166/ws.2018.129
23,BarnettItzhaki2026,Barnett-Itzhaki (2026),AI water footprint and digital water sobriety,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Cross-cutting governance,Included because it supports the burden pathway through: AI water footprint and digital water sobriety.,
24,Liang2026,Liang (2026),Sao Paulo AI water footprint and hydropower nexus,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",---,Included because it supports the burden pathway through: Sao Paulo AI water footprint and hydropower nexus.,
25,GrubertSanders2018,Grubert and Sanders (2018),Water use across the US energy system,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Energy-water nexus,Included because it supports the burden pathway through: Water use across the US energy system.,
26,Chini2018VirtualWater,Chini et al. (2018),Virtual-water transfers through the US electric grid,Burden,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research report",Spatial displacement of indirect water,Included because it supports the burden pathway through: Virtual-water transfers through the US electric grid.,
27,Shehabi2024,Shehabi et al. (2024),US data-centre energy-usage report,Burden,Government/regulatory,"Government, intergovernmental, or public-authority report",---,Included because it supports the burden pathway through: US data-centre energy-usage report.,https://eta.lbl.gov/publications/2024-lbnl-data-center-energy-usage-report
28,ICPRB2025,"ICPRB (Ahmed et al., 2025)",Washington metropolitan water-supply study,Burden,Government/regulatory,"Government, intergovernmental, or public-authority report",Constraint,Included because it supports the burden pathway through: Washington metropolitan water-supply study.,https://www.potomacriver.org/wp-content/uploads/2025/12/2025_WMA_Water_Supply_Study_ICPRB_Dec-2025.pdf
29,Medalie2025,Medalie et al. (2025),US water-use statistics,Burden,Government/regulatory,"Government, intergovernmental, or public-authority report",---,Included because it supports the burden pathway through: US water-use statistics.,https://pubs.usgs.gov/publication/pp1894D/full
30,CSO2025,CSO (2025),Ireland data-centre electricity consumption,Burden,Government/regulatory,"Government, intergovernmental, or public-authority report",---,Included because it supports the burden pathway through: Ireland data-centre electricity consumption.,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2024/
31,SPGlobal2025,S&P Global (2025),Global data-centre water-stress analysis,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",Constraint,Included because it supports the burden pathway through: Global data-centre water-stress analysis.,https://www.spglobal.com/sustainable1/en/insights/special-editorial/beneath-the-surface-water-stress-in-data-centers
32,McKinsey2025,McKinsey (2025),US data-centre economic analysis,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",Constraint (economic),Included because it supports the burden pathway through: US data-centre economic analysis.,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/the-cost-of-compute-a-7-trillion-dollar-race-to-scale-data-centers
33,JLL2025,JLL (2025),North American data-centre market report,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",Constraint (economic),Included because it supports the burden pathway through: North American data-centre market report.,https://www.jll.com/en-us/insights/market-dynamics/north-america-data-centers
34,RolandBerger2025,Roland Berger (2025),Data-centre water-demand analysis,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",---,Included because it supports the burden pathway through: Data-centre water-demand analysis.,https://www.rolandberger.com/en/Insights/Publications/Water-demands-of-the-data-economy.html
35,Apple2025,Apple (2025),Corporate water strategy,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",---,Included because it supports the burden pathway through: Corporate water strategy.,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2025.pdf
36,Equinix2023Sustainability,Equinix (2023),Portfolio water disclosure,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",Corporate disclosure,Included because it supports the burden pathway through: Portfolio water disclosure.,https://sustainability.equinix.com/wp-content/uploads/2024/04/Equinix-Inc_2023-Sustainability-Report.pdf
37,Equinix2025Sustainability,Equinix (2025),Customer water reports and site-level WUE,Burden,Corporate/industry/institutional,"Corporate, industry, consultancy, or non-governmental institutional source",Corporate disclosure,Included because it supports the burden pathway through: Customer water reports and site-level WUE.,https://d1io3yog0oux5.cloudfront.net/_dd4537fcab139e43b5bb871d20079fe3/equinix/db/2197/27037/file/Equinix-Inc_2025_Sustainability-Report.pdf
38,Solomon2024,Solomon (2024),Zero-water data-centre design,Constraint,Peer-reviewed/scholarly,Research article or scholarly contribution,---,Included because it supports the constraint pathway through: Zero-water data-centre design.,https://www.microsoft.com/en-us/microsoft-cloud/blog/2024/12/09/sustainable-by-design-next-generation-datacenters-consume-zero-water-for-cooling/
39,Lyle2025,Lyle et al. (2025),Utility climate-risk index,Constraint,Peer-reviewed/scholarly,Research article or scholarly contribution,---,Included because it supports the constraint pathway through: Utility climate-risk index.,
40,Tironi2025,Tironi and Albornoz (2025),Chile Google data-centre permit reversal,Constraint,Peer-reviewed/scholarly,Research article or scholarly contribution,---,Included because it supports the constraint pathway through: Chile Google data-centre permit reversal.,
41,CityLebanon2025,City of Lebanon (2025),Lebanon water agreement,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",---,Included because it supports the constraint pathway through: Lebanon water agreement.,https://lebanon.in.gov/wp-content/uploads/2025/01/Project-Domino-Water-and-Wastewater-Agreement-Final-11.03.25.pdf
42,VirginaDEQ2024,Virginia DEQ (2024),Leesburg settlement agreement,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",---,Included because it supports the constraint pathway through: Leesburg settlement agreement.,https://www.leesburgva.gov/departments/capital-projects/current-projects/utilities-projects/microsoft-water-and-sewer
43,EU2024,European Commission (2024),WUE-disclosure regulation,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",---,Included because it supports the constraint pathway through: WUE-disclosure regulation.,https://eur-lex.europa.eu/eli/reg_del/2024/1364/oj/eng
44,SRBC2025,SRBC (2025),Basin-commission data-centre FAQ,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",---,Included because it supports the constraint pathway through: Basin-commission data-centre FAQ.,https://www.srbc.gov/about/news/docs/srbc-data-centers-faq.pdf
45,CRU_Ireland2025,CRU Ireland (2025),Ireland data-centre connection restriction,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",---,Included because it supports the constraint pathway through: Ireland data-centre connection restriction.,https://consult.cru.ie/en/consultation/review-large-energy-users-connection-policy
46,SingaporeGreenDC2024,Singapore IMDA (2024),Green Data Centre Roadmap and WUE mandate,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",Adaptive (regulation),Included because it supports the constraint pathway through: Green Data Centre Roadmap and WUE mandate.,https://www.imda.gov.sg/how-we-can-help/green-dc-roadmap
47,GermanyEnEfG2023,Germany EnEfG (2023),Energy Efficiency Act and WUE reporting,Constraint,Government/regulatory,"Government, regulator, municipality, or public-authority record",---,Included because it supports the constraint pathway through: Energy Efficiency Act and WUE reporting.,https://climate-laws.org/document/energy-efficiency-act-enefg_d64e
48,AmazonAIWaterFAQ2025,Amazon (2025),AI water-use FAQ,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: AI water-use FAQ.,https://sustainability.aboutamazon.com/stories/just-back-from-weftec-why-does-ai-use-water
49,Amazon2026,Amazon News (2026),Louisiana data-centre investment,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Louisiana data-centre investment.,https://www.aboutamazon.com/news/company-news/amazon-data-center-louisiana-new-jobs
50,Meta2026,Meta (2026),Lebanon data-centre announcement,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Lebanon data-centre announcement.,https://about.fb.com/news/2026/02/metas-new-data-center-lebanon-indiana-marks-milestone-ai-investment/
51,Nakagawa2023,Nakagawa (2023),Water Positive journey,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Water Positive journey.,https://blogs.microsoft.com/on-the-issues/2023/03/22/water-positive-climate-resilience-open-call
52,MetaLimnoTech2025,Meta and LimnoTech (2025),Volumetric water benefits,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Volumetric water benefits.,https://sustainability.atmeta.com/wp-content/uploads/2025/08/REVISED_FINAL_Meta_2024_Volumetric_Water_Benefit_Report_08.21.2025.pdf
53,FWW2026,Food & Water Watch (2026),Advocacy case concerning data centres,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Advocacy case concerning data centres.,https://www.foodandwaterwatch.org/2026/03/04/comprehensive-report-lays-out-case-for-nationwide-halt-on-new-data-centers
54,Smith2026,Smith (2026),Community-first AI infrastructure,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Community-first AI infrastructure.,https://blogs.microsoft.com/on-the-issues/2026/01/13/community-first-ai-infrastructure
55,Microsoft2025,Microsoft (2025),Environmental sustainability report,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Environmental sustainability report.,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
56,Google2025Stewardship,Google (2025),Water-stewardship portfolio,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,---,Included because it supports the constraint pathway through: Water-stewardship portfolio.,https://sustainability.google/commitments/water
57,Shah2026,Shah (2026),Four water-insecurity concerns about AI data centres,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,Cross-cutting governance,Included because it supports the constraint pathway through: Four water-insecurity concerns about AI data centres.,
58,AmericanRivers2026,American Rivers (2026),Potomac designated most endangered US river,Constraint,Corporate/industry/institutional,Corporate or non-governmental institutional source,Burden,Included because it supports the constraint pathway through: Potomac designated most endangered US river.,https://www.americanrivers.org/2026/04/americas-most-endangered-rivers-of-2026-highlights-remedies-for-healthy-rivers-and-a-cleaner-water-supply/
59,NYT2025,New York Times (2025),Newton County project rejection,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: Newton County project rejection.,https://www.nytimes.com/2025/07/14/technology/meta-data-center-water.html
60,OPB2026,Oregon Public Broadcasting (2026),The Dalles water expansion,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: The Dalles water expansion.,https://www.opb.org/article/2026/01/15/as-googles-water-demands-grow-the-dalles-aims-to-pull-more-from-mount-hood-forest/
61,SpectrumNews2025,Spectrum News (2025),Port Washington infrastructure,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: Port Washington infrastructure.,https://spectrumnews1.com/wi/milwaukee/news/2025/09/23/data-center-port-washington
62,PostCourier2024,Post and Courier (2024),Dorchester County public-records case,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: Dorchester County public-records case.,https://www.postandcourier.com/business/dorchester-google-data-center-foia-lawsuit-water-charleston/article_13536bb8-fe45-11ee-8e2c-ab63a46ae251.html
63,WPR_Racine2025,Wisconsin Public Radio (2025),Milwaukee Riverkeeper public-records lawsuit,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: Milwaukee Riverkeeper public-records lawsuit.,https://www.wpr.org/news/microsoft-data-centers-lawsuit-force-release-projected-water-use
64,VirginiaMercury2024,Virginia Mercury (2024),NDA investigation and data-centre non-disclosure,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: NDA investigation and data-centre non-disclosure.,https://virginiamercury.com/2024/10/25/foia-friday-professor-students-find-ndas-with-data-center-companies-localities-say-theyre-used-often/
65,Gorey2025,Gorey (2025),AI land and water impacts,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: AI land and water impacts.,https://www.lincolninst.edu/publications/land-lines-magazine/articles/land-water-impacts-data-centers/
66,DCD_Uruguay2023,"Data Center Dynamics (2023, Uruguay)",Google Uruguay facility reformulation,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: Google Uruguay facility reformulation.,https://www.datacenterdynamics.com/en/news/googles-uruguay-data-center-approved-after-reformulation/
67,Mongabay_Uruguay2023,Mongabay (2023),Uruguay drought and data-centre opposition,Constraint,Investigative/trade,"Investigative, news, or trade reporting",Burden (volumetric demand),Included because it supports the constraint pathway through: Uruguay drought and data-centre opposition.,https://news.mongabay.com/2023/11/the-cloud-vs-drought-water-hog-data-centers-threaten-latin-america-critics-say/
68,DCD_Netherlands2022,"Data Center Dynamics (2022, Netherlands)",Netherlands data-centre moratorium,Constraint,Investigative/trade,"Investigative, news, or trade reporting",---,Included because it supports the constraint pathway through: Netherlands data-centre moratorium.,https://www.datacenterdynamics.com/en/analysis/the-ongoing-impact-of-amsterdams-data-center-moratorium/
69,Hayslep2025,Hayslep et al. (2025),Genetic-programming leak prediction,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Genetic-programming leak prediction.,
70,Taloma2025,Taloma et al. (2025),Machine learning for smart-water systems review,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Machine learning for smart-water systems review.,
71,Jun2025,Jun and Jung (2025),Deep-learning leak detection,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Deep-learning leak detection.,
72,Fu2022,Fu et al. (2022),Deep learning in urban-water management,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Deep learning in urban-water management.,
73,WaterTwinAI2025,WaterTwin-AI (2025),AI-enhanced digital-twin platform,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: AI-enhanced digital-twin platform.,https://www.preprints.org/manuscript/202510.1750
74,Kratzert2019,Kratzert et al. (2019),Machine-learning streamflow prediction,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Machine-learning streamflow prediction.,
75,Nearing2021,Nearing et al. (2021),Hydrological science and machine learning,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Hydrological science and machine learning.,
76,Negm2024,Negm et al. (2024),Deep reinforcement learning for urban-water systems,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Deep reinforcement learning for urban-water systems.,
77,Chen2018,Chen et al. (2018),CloudHeat waste-heat harvesting,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: CloudHeat waste-heat harvesting.,
78,Yang2024,Yang et al. (2024),Learning-augmented water-infrastructure control,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Learning-augmented water-infrastructure control.,
79,Islam2015,Islam et al. (2015),WATCH water-aware load balancing,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: WATCH water-aware load balancing.,
80,Farah2024,Farah and Shahrour (2024),Leak-detection review,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Leak-detection review.,
81,ZunigaUribe2026,Zuniga-Uribe et al. (2026),AI leak-detection systematic review,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: AI leak-detection systematic review.,https://www.mdpi.com/2624-6511/9/3/45
82,GhorbaniBam2025,Ghorbani Bam et al. (2025),Digital-twin review,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Digital-twin review.,
83,Vittori2025,Vittori et al. (2025),Graph neural networks for water-distribution networks,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Graph neural networks for water-distribution networks.,
84,GNN_WDS2025,"GNN_WDS (Ashraf et al., 2025)",Physics-informed GNN for water-distribution systems,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Physics-informed GNN for water-distribution systems.,https://arxiv.org/abs/2502.12164
85,Daniel2023,Daniel et al. (2023),Utility digitalisation survey,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Utility digitalisation survey.,
86,Wu2025,Wu et al. (2025),SCARF water-stress metric,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",Cross-cutting framework,Included because it supports the adaptive pathway through: SCARF water-stress metric.,
87,Radovanovic2022,Radovanovic et al. (2022),Carbon-aware computing,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Carbon-aware computing.,
88,Sousa2026,Sousa et al. (2026),Water-leakage management review,Adaptive,Peer-reviewed/scholarly,"Research article, conference paper, scholarly preprint, or technical research contribution",---,Included because it supports the adaptive pathway through: Water-leakage management review.,
89,EPAWRAP2026,EPA WRAP 2.0 (2026),Federal water-reuse action plan targeting data-centre cooling,Adaptive,Government/regulatory,Government programme or policy source,Cross-cutting governance,Included because it supports the adaptive pathway through: Federal water-reuse action plan targeting data-centre cooling.,https://www.epa.gov/newsreleases/epa-launches-water-reuse-action-plan-20-advance-agencys-core-mission-and-strengthen-us
90,Amazon2025recycled,"Amazon (2025, recycled)",AWS recycled-water deployments,Adaptive,Corporate/industry/institutional,Corporate deployment disclosure,---,Included because it supports the adaptive pathway through: AWS recycled-water deployments.,https://sustainability.aboutamazon.com/stories/how-aws-uses-recycled-water-in-data-centers
91,WaterBriefing2023,Water Briefing (2023),Thames Water acoustic leak detection,Adaptive,Investigative/trade,Trade reporting,---,Included because it supports the adaptive pathway through: Thames Water acoustic leak detection.,https://www.waterbriefing.org/home/company-news/item/17296-thames-water-cuts-leakage-by-15-in-just-one-year-after-smart-water-network-upgrades
92,EPA2023,EPA (2023),US drinking-water infrastructure needs,Cross-cutting,Government/regulatory,Government infrastructure or affordability assessment,---,Included because it supports the cross-cutting pathway through: US drinking-water infrastructure needs.,https://www.epa.gov/dwsrf/epas-7th-drinking-water-infrastructure-needs-survey-and-assessment
93,EPA2024afford,EPA (2024),Water-affordability assessment,Cross-cutting,Government/regulatory,Government infrastructure or affordability assessment,---,Included because it supports the cross-cutting pathway through: Water-affordability assessment.,https://www.epa.gov/system/files/documents/2024-12/water-affordability-needs-assessment.pdf
94,ValueOfWater2025,Value of Water Campaign (2025),Infrastructure-investment benefits,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: Infrastructure-investment benefits.,https://www.thevalueofwater.org/
95,Kane2025,Kane (2025),Brookings AI and water strategy,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: Brookings AI and water strategy.,https://www.brookings.edu/articles/ai-data-centers-and-water/
96,Walker2026,Walker and Goldsmith (2026),WRI community-impact analysis,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: WRI community-impact analysis.,https://www.wri.org/insights/us-data-center-growth-impacts
97,UMichigan2026,University of Michigan (2026),Data-centre community guidebook,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: Data-centre community guidebook.,https://graham.umich.edu/media/files/Data-Center-Guidebook-2026-02-06.pdf
98,Ceres2025,Ceres (2025),Water-stewardship benchmark,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: Water-stewardship benchmark.,https://www.ceres.org/resources/news/water-impacts-from-data-centers-may-expose-companies-to-more-risk-than-acknowledged-a-new-analysis-shows
99,AllianceGreatLakes2025,Alliance for the Great Lakes (2025),Great Lakes data-centre water needs,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: Great Lakes data-centre water needs.,https://greatlakes.org/2025/03/data-centers-are-increasing-in-the-great-lakes-at-what-cost/
100,WaterAINexus2025,Water-AI Nexus (2025),Sustainable data-centre water principles,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",---,Included because it supports the cross-cutting pathway through: Sustainable data-centre water principles.,https://water-ai-nexus.org/insight-report/
101,Kuzma2023Aqueduct,WRI Aqueduct 4.0 (2023),Basin-scale water-risk screening and prioritisation,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",Requires local follow-up,Included because it supports the cross-cutting pathway through: Basin-scale water-risk screening and prioritisation.,https://www.wri.org/research/aqueduct-40-updated-decision-relevant-global-water-risk-indicators
102,Collins2025VWBA,WRI VWBA 2.0 (2025),Volumetric-benefit accounting for stewardship projects,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",Benefit claims and double-counting controls,Included because it supports the cross-cutting pathway through: Volumetric-benefit accounting for stewardship projects.,https://www.wri.org/research/volumetric-water-benefit-accounting-2-0
103,AWSStandard2026,Alliance for Water Stewardship (2026),Auditable site- and catchment-based stewardship standard,Cross-cutting,Corporate/industry/institutional,"Non-governmental institutional report, framework, or standard",Assurance and certification process,Included because it supports the cross-cutting pathway through: Auditable site- and catchment-based stewardship standard.,https://a4ws.org/aws-standard/
